Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
Hossam Samy and Ashraf Tammam and Ahmed Fahmy and Bahaa Hasan,Enhancing the performance of the blockchain consensus algorithm using multithreading technology,Ain Shams Engineering Journal,12,3,2709-2716,,Elsevier
Yasser Dakroury and IA El-Ghafar and Ashraf Tammam,Protecting GIS data using cryptography and digital watermarking,International Journal of Computer Science and Network Security,10,1,75-84,,
Ahmed F Abdullah and Fatty M Salem and Ashraf Tammam and Mohamed H Abdel Azeem,Performance analysis and evaluation of software defined networking controllers against denial of service attacks,Journal of Physics: Conference Series,1447,1,012007,,IOP Publishing
Mahmoud Fathy and Ashraf Tammam and Asmaa Saafan,Influence of relaying malicious node within cooperative sensing in cognitive radio network,Wireless Networks,25,5,2449-2458,,Springer US
Eslam Abdelkreem and Sherief Hussein and Ashraf Tammam,Feature Engineering Impact on Position Falsification Attacks Detection in Vehicular Ad-Hoc Network,,,,,,
Mohamed HS AbouSteit and Ashraf Farouk Tammam and AbdelMoneim Wahdan,A novel approach for generating one-time password with secure distribution,,,,461-466,,IEEE
Mohamed Sherif Nabil and Mohamed Misbah ElKhatib and Ashraf Tammam,Fuzzy power management for internet of things (iot) wireless sensor nodes,,,,173-182,,IEEE
Ashraf Tammam and Hanady Issa Amr Elmestekawi,Unclonable key Generator Based on Chip signature and SRAM-PUF of ATmega328P chip,,,,24-29,,IEEE
Mahmoud Fathy and Ashraf Tammam and Asmaa Saafan,Mitigating the impact of malicious behavior via utilizing multiple routes in a cooperative sensing cognitive radio network,,,,247-252,,IEEE
Hazem M Ammar and Ashraf F Tammam and Ibrahim M Selim and Mohamed Eassa,Automated system utilizing non-invasive technique mammograms for breast cancer detection,BMC Medical Imaging,24,1,205,,BioMed Central
Mohamed Sherif Nabil and Mohamed Misbah ElKhatib and Ashraf Tammam,Neuro Fuzzy DC-DC Converter,,,,106-111,,IEEE
Dalia Mahdy and Abdallah Mohamed and Anke Klingner and Ashraf Tammam and Abdelmoneim Wahdan and Mohamed Serry and Islam SM Khalil,Experimental characterization of helical propulsion in Newtonian and viscoelastic mediums,,,,311-314,,IEEE
MS Nabil and AF Tammamand and Mohamed M Elkhatib,Design of a smart energy efficient IoT wireless node,IOP Conference Series: Materials Science and Engineering,1172,1,012008,,IOP Publishing
Amr Morgan and Ashraf Tammam and Abdel-Moneim Wahdan,Concurrency conflicts resolution for IoT using blockchain technology,International Journal of Computer Science & Network Security,21,7,331-340,,
Abdelaziz Atef and Ashraf Tammam,Comparative study on Ransomware Detection using Machine Learning,Journal of Advanced Research Design,141,1,232-240,,
Ashraf Tammam and Abdelmoneim Wahdan Khaled Naga,Rule-based Transceiver (RBT) Protocol for Security in Controller Area Networks,International Journal of Computer Science and Network,7,1,14-23,,http://ijcsn.org/articles/0701/Rule-based-Transceiver-RbT-Protocol-for-Security-in-Controller-Area-Networks.html
