Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
Amr A Hanafy and Gouda I Salama and Yahya Z Mohasseb,A secure covert communication model based on video steganography,,,,1-6,,IEEE
Yahya Z Mohasseb and Michael P Fitz,A 3-D spatio-temporal simulation model for wireless channels,IEEE Journal on Selected Areas in Communications,20,6,1193-1203,,IEEE
Hassan Ghozlan and Yahya Mohasseb and Hesham El Gamal and Gerhard Kramer,The MIMO wireless switch: Relaying can increase the multiplexing gain,,,,1448-1452,,IEEE
M Mokhtar and Yahya Mohasseb and Mohammed Nafie and Hesham El Gamal,On the deterministic multicast capacity of bidirectional relay networks,,,,1-5,,IEEE
Hassan Yakout El-Arsh and Yahya Z Mohasseb,A new light-weight jpeg2000 encryption technique based on arithmetic coding,,,,1844-1849,,IEEE
Ahmed A Zewail and Yahya Mohasseb and Mohammed Nafie and Hesham El Gamal,The deterministic multicast capacity of 4-node relay networks,,,,804-808,,IEEE
Ahmed A Zewail and Mohammed Nafie and Yahya Mohasseb and Hesham El Gamal,Achievable degrees of freedom region of MIMO relay networks using detour schemes,,,,1860-1865,,IEEE
Mohamed Salah and Amr El-Keyi and Mohammed Nafie and Yahya Mohasseb,Degrees of freedom for the MIMO multi-way relay channel with common and private messages,IEEE Transactions on Wireless Communications,16,3,1673-1686,,IEEE
Ahmed S Zamzam and Amr El-Keyi and Mohammed Nafie and Yahya Mohasseb,On the degrees of freedom of the two-cell two-hop MIMO network with dedicated and shared relays,IEEE Transactions on Wireless Communications,14,12,6738-6751,,IEEE
Mai A Abdel-Malek and Karim G Seddik and Tamer ElBatt and Yahya Mohasseb,Effective capacity optimization for cognitive radio networks under primary QoS provisioning,Wireless Networks,26,3,2171-2190,,Springer US
Adel M Elmahdy and Amr El-Keyi and Yahya Mohasseb and Tamer ElBatt and Mohammed Nafie and Karim G Seddik,Asymmetric degrees of freedom of the full-duplex MIMO 3-way channel,,,,469-473,,IEEE
Mohamed Salah and Amr El-Keyi and Yahya Mohasseb and Mohammed Nafie,Achievable degrees of freedom on K-user MIMO multi-way relay channel with common and private messages,,,,973-977,,IEEE
Ahmed Attia Abotabl and Amr El-Keyi and Yahya Mohasseb and Fan Bai,Optimal Windowing and Decision Feedback Equalization for Space–Frequency Alamouti-Coded OFDM in Doubly Selective Channels,IEEE transactions on vehicular technology,63,5,2197-2207,,IEEE
Yahya Z Mohasseb and Mohamed T Moubarak,A QoS oriented analytical model for BGP multihomed networks,,,,31-34,,IEEE
Adel M Elmahdy and Amr El-Keyi and Yahya Mohasseb and Tamer ElBatt and Mohammed Nafie and Karim G Seddik and Tamer Khattab,Degrees of freedom of the full-duplex asymmetric MIMO three-way channel with unicast and broadcast messages,IEEE Transactions on Communications,65,8,3276-3287,,IEEE
Ahmed A Zewail and Yahya Mohasseb and Mohammed Nafie and Hesham El Gamal,The deterministic capacity of relay networks with relay private messages,,,,1-5,,IEEE
Yahya Mohasseb and Michael P Fitz and Urbashi Mitra,An improved bound on the performance of maximum-likelihood multiuser detection receivers in Rayleigh fading,IEEE transactions on information theory,52,3,1184-1196,,IEEE
Mohamed Naguib and Yahya Z Mohasseb and Hisham Dahshan,On the Transport Layer Throughput in Cognitive Mobile Ad Hoc Networks using Soft Sensing,,,,69-74,,IEEE
Mahmoud Ashour and Ahmed Attia and Ahmad ElMoslimany and Yahya Mohasseb and Amr El-Keyi,MIMO vehicle to vehicle channels: An experimental study,,,,1-5,,IEEE
Khaled A Ghorib and Amr Abdelaziz and Ahmed Fathy Darwesh and Yahya Mohasseb,Generalized OFDM Index Modulation Performance Analysis and Error Propagation Mitigation Using LDPC,,,,305-310,,IEEE
Mohamed Salah and Amr El-Keyi and Mohammed Nafie and Yahya Mohasseb,Weighted sum degrees of freedom of the asymmetric MIMO Y channel with common and private messages,,,,1-7,,IEEE
Ahmed S Bendary and Yahya Z Mohasseb and Hisham Dahshan,On the secure Degrees of Freedom for the K-user symmetric MIMO Wiretap MAC channel,,,,591-595,,IEEE
Ahmed A Abotabl and Amr El-Keyi and Yahya Mohasseb and Tamer ElBatt,Reduced-complexity SFBC-OFDM for vehicular channels with high mobility,,,,1-5,,IEEE
Ramy Samy and Ashraf Mahran and Yahya Mohasseb,Low complexity iterative decoding of Reed–Solomon convolutional concatenated codes,International journal of communication systems,34,14,e4922,,
Mohamed Salah Ibrahim and Mohammed Nafie and Yahya Mohasseb,On the Capacity Region of the Deterministic Y-Channel with Common and Private Messages,,,,332-336,,IEEE
Eslam Abd Elhalim Ali and Hisham Dahshan and Yahya Z Mohasseb,Enhanced identity based broadcast encryption scheme through open networks,,,,573-578,,IEEE
Adel M Elmahdy and Amr El-Keyi and Yahya Mohasseb and Tamer ElBatt and Mohammed Nafie and Karim G Seddik and Tamer Khattab,Asymmetric degrees of freedom of the full-duplex MIMO 3-way channel with unicast and broadcast messages,arXiv preprint arXiv:1608.00209,,,,,
Mai Abdel-Malek and Karim Seddik and Tamer ElBatt and Yahya Mohasseb,Effective capacity and delay optimization in cognitive radio networks,,,,30-42,,Springer International Publishing
Ahmed S Zamzam and Amr El-Keyi and Mohammed Nafie and Yahya Mohasseb,Degrees of freedom for a two-cell relay network with soft handoffs,,,,1685-1691,,IEEE
Ahmad ElMoslimany and Amr El-Keyi and Yahya Mohasseb,A novel stochastic geometrical model for wideband MIMO-V2V channels,,,,345-350,,IEEE
Amr A Hanafy and Yahya Z Mohasseb and Gouda I Salama and Mohamed M Mokhtar,A Novel Region-Based Color Video Compression Technique,,,,1-7,,IEEE
Hazem Abu Elhassan Radi and Yahya Z Mohasseb and Ali Elmogazy,The effect of imperfect symbol timing estimation on the performance of space-time coded systems,The International Conference on Electrical Engineering,5,5th International Conference on Electrical Engineering ICEENG 2006,1-13,,Military Technical College
Yahya Zakaria Mohasseb,Interference cancellation and channel modeling for space-time narrowband systems,,,,,,
Yahya Z Mohasseb and Urbashi Mitra and Michael P Fitz,Bounding the performance of a narrowband MUD receiver,,2,,832-837,,IEEE
Yahya Mohasseb and Michael P Fitz,Outage Capacity of Spatially Correlated Multipath Fading Channels,PROCEEDINGS OF THE ANNUAL ALLERTON CONFERENCE ON COMMUNICATION CONTROL AND COMPUTING,39,2,1046-1055,,The University; 1998
Yahya Zakaria Mohasseb,Remote Sensing and Artificial Intelligence Serving Precise and Smart Agriculture,,5,5,82-88,,"Academy of Scientific Research and Technology In cooperation with the Arab Association for Science, Technology and Innovation Observatories-Federation of Arab Scientific Research"
Khaled A Ghorib and Amr Abdelaziz and Ahmed F Darwesh and Yahya Mohasseb,Generalized Index Modulation System and Application for Satellite Communications,,,,517-520,,IEEE
Hisham Dahshan and Eslam Abdel Haleem Ali and Yahya Z Mohasseb,Efficient Identity Based Broadcast Encryption Scheme with Permanent Revocation,,,,,,
Mohamed Naguib and Yahya Mohasseb and Hisham Dahshan and Ahmed Elghandour,An Enhanced Transport Layer Protocol for Cognitive Mobile Ad Hoc Networks,The International Conference on Electrical Engineering,11,11th International Conference on Electrical Engineering ICEENG 2018,1-13,,Military Technical College
Abdelrahman Marconi and Yahya Z Mohasseb and Hisham Dahshan,Doubly selective channel estimation for OFDM systems,,,,9-13,,IEEE
Yahya Mohasseb,Degrees of Freedom for the MIMO Multi-way Relay Channel with Common and Private Messages,IEEE Transactions on Wireless Communications,,,,,
Ahmed A Zewail and Yahya Mohasseb and Mohammed Nafie and Hesham El Gamal,Using network coding to achieve the capacity of deterministic relay networks with relay messages,Wireless Communications and Mobile Computing,16,15,2390-2405,,
Yahya Mohasseb,Effective Capacity and Delay Optimization in Cognitive Radio Networks,"Cognitive Radio Oriented Wireless Networks: 10th International Conference, CROWNCOM 2015, Doha, Qatar, April 21-23, 2015, Revised Selected Papers",156,,30,,Springer
Tamer Yehya and Yahya Mohasseb and Ashraf Mahran,Position Estimation in WiMAX Networks using Received Signal Strength,The International Conference on Electrical Engineering,9,9th International Conference on Electrical Engineering ICEENG 2014,1-13,,Military Technical College
Tamer Yehya and Ashraf Mahran and Yahya Mohasseb,Localization using DVB-T2 Signals,"Engineering and Technology (ICET), 2014 International Conference on",,,1-5,,IEEE
Yahya Z Mohasseb and Farouk A Kamil,An energy efficient routing strategy for Wireless Sensor Networks,,,,506-510,,IEEE
Yahya Mohasseb and Hisham Elgamal,EFFECT OF IMPERFECT POWER CONTROL ON PARALLEL INTERFERENCE CANCELLATION FOR CDMA,International Conference on Aerospace Sciences and Aviation Technology,11,"ASAT Conference, 17-19 May 2005",757-767,,The Military Technical College
Yahya Mohasseb and Hussein Aly and Housam Soleman and Ali El-Moghazy,"The joint impact of mobility models, percentage of transmitting/receiving nodes, and nodes density in the scenario on MANET routing protocols",The International Conference on Electrical Engineering,7,7th International Conference on Electrical Engineering ICEENG 2010,1-12,,Military Technical College
Yahya Z Mohasseb,MRC Revisited: A reduced complexity Antenna diversity scheme,The International Conference on Electrical Engineering,6,6th International Conference on Electrical Engineering ICEENG 2008,1-12,,Military Technical College
AA Elrahman and MM Salah and YZ Mohasseb and MM Mokhtar,Performance Study of Convolutional Coded OFDM,International Conference on Aerospace Sciences and Aviation Technology,12,"ASAT Conference, 29-31 May 2007",1-10,,The Military Technical College
Amr Amin Assaad and Yahya Z Mohasseb and Ali Elmoghazy,A MODIFIED FEC SCHEME FOR ATM QOS ENHANCEMENT OVER BURSTY SATELLITE CHANNELS,International Conference on Aerospace Sciences and Aviation Technology,12,"ASAT Conference, 29-31 May 2007",1-15,,The Military Technical College
Y Mohasseb and A Ghuniem and S Desoky and H Elgamal,Partial Parallel Interference Cancellation for CDMA Wireless Networks in Multipath Fading Channels with Imperfect Power Control,,,,1-9,,IEEE
Mohamed Naguib and Yahya Mohasseb and Hisham Dahshan and Ahmed Elghandour,"Kobry El-Kobbah, Cairo, Egypt",,,,,,
Yahya Z Mohasseb and Mohamed T Moubarak,A QoS oriented Analytical Model for oriented Analytical Model for BGP Multihomed Multihomed Networks,,,,,,
Hassan YakoutEl-Arsh and Yahya Z Mohasseb,A New Light-weight JPEG2000 Encryption Technique Based On Arithmetic Coding,,,,,,
Hadi Hashemi and Sina Mohammadi Fard and Abbas Taherpour and Tamer Khattab and Lokman Sboui and Hakim Ghazzai and Zouheir Rezki and Mohamed-Slim Alouini and Mai Abdel-Malek and Karim Seddik and Tamer ElBatt and Yahya Mohasseb and Wei Zhou and Tao Jing and Yan Huo and Jin Qian and Zhen Li and Hussein Seleem and Abdullhameed Alsanie and Ahmed Iyanda Sulyman and Saeid Sedighi and Hesham M Elmaghraby and Dongrun Qin and Zhi Ding,Dynamic Spectrum Access/Management,,,,,,
Yahya Z Mohasseb and Hazem A Radi and Ali Elmoghazy,A New Interpolation-Based Symbol Timing Recovery Technique for Space Time Coded Systems,,,,,,
